Quarter,Period,SFY,Biosimilar %,Humira Units,Biosimilar Units,Humira Cost/Unit,Biosimilar Cost/Unit,Gross Total,Baseline (No Shift),Gross Savings,State Cost (30%),State Savings (30%)
SFY26_Q1,Jul-Sep 2025,SFY26,0%,11078,0,3868.05,856.9,42848336.28,42848336.28,0.0,12854500.88,0.0
SFY26_Q2,Oct-Dec 2025,SFY26,0%,11078,0,3887.25,845.98,43060989.64,43060989.64,0.0,12918296.89,0.0
SFY26_Q3,Jan-Mar 2026,SFY26,15%,9416,1662,3906.54,835.2,38171286.23,43274698.39,5103412.15,11451385.87,1531023.65
SFY26_Q4,Apr-Jun 2026,SFY26,30%,7754,3323,3925.93,824.56,33182847.64,43489467.76,10306620.11,9954854.29,3091986.03
SFY27_Q1,Jul-Sep 2026,SFY27,45%,6093,4985,3945.41,814.05,28095875.39,43705303.01,15609427.62,8428762.62,4682828.29
SFY27_Q2,Oct-Dec 2026,SFY27,55%,4985,6093,3964.99,803.68,24661527.44,43922209.44,19260682.0,7398458.23,5778204.6
SFY27_Q3,Jan-Mar 2027,SFY27,65%,3877,7200,3984.67,793.44,21162146.88,44140192.36,22978045.48,6348644.06,6893413.64
SFY27_Q4,Apr-Jun 2027,SFY27,75%,2769,8308,4004.45,783.33,17597837.28,44359257.11,26761419.83,5279351.19,8028425.95
SFY26 TOTAL,,SFY26,,,,,,157263459.8,172673492.07,15410032.27,47179037.94,4623009.68
SFY27 TOTAL,,SFY27,,,,,,91517386.99,176126961.91,84609574.92,27455216.1,25382872.48
CUMULATIVE,,SFY26+27,,,,,,248780846.79,348800453.98,100019607.19,74634254.04,30005882.16

SFY PROJECTION ASSUMPTIONS
Assumption,Value,Basis
Quarterly base units,11078,CY2024 annual / 4
Humira annual price inflation,2%,Conservative estimate based on CY2022-2024 trend
Biosimilar annual price deflation,5%,Expected competitive price erosion
PDL change effective date,"January 1, 2026",NC PDL revision
NC SFY,July 1 - June 30,
